split_strategy,representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
random_stratified,combined,logistic_regression_balanced,1,26295,8765,gender,gender,1335
random_stratified,combined,logistic_regression_balanced,1,26295,8765,gender,not_cyberbullying,103
random_stratified,combined,logistic_regression_balanced,1,26295,8765,gender,other_cyberbullying,75
random_stratified,combined,logistic_regression_balanced,1,26295,8765,gender,religion,6
random_stratified,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,age,37
random_stratified,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,ethnicity,7
random_stratified,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,gender,41
random_stratified,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,not_cyberbullying,851
random_stratified,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,other_cyberbullying,278
random_stratified,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,religion,49
random_stratified,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,age,11
random_stratified,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,ethnicity,6
random_stratified,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,gender,51
random_stratified,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,not_cyberbullying,191
random_stratified,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,other_cyberbullying,944
random_stratified,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,religion,5
random_stratified,combined,logistic_regression_balanced,1,26295,8765,religion,age,1
random_stratified,combined,logistic_regression_balanced,1,26295,8765,religion,ethnicity,0
random_stratified,combined,logistic_regression_balanced,1,26295,8765,religion,gender,7
random_stratified,combined,logistic_regression_balanced,1,26295,8765,religion,not_cyberbullying,61
random_stratified,combined,logistic_regression_balanced,1,26295,8765,religion,other_cyberbullying,13
random_stratified,combined,logistic_regression_balanced,1,26295,8765,religion,religion,1514
random_stratified,combined,logistic_regression_balanced,2,26295,8765,age,age,1548
random_stratified,combined,logistic_regression_balanced,2,26295,8765,age,ethnicity,1
random_stratified,combined,logistic_regression_balanced,2,26295,8765,age,gender,2
random_stratified,combined,logistic_regression_balanced,2,26295,8765,age,not_cyberbullying,20
random_stratified,combined,logistic_regression_balanced,2,26295,8765,age,other_cyberbullying,19
random_stratified,combined,logistic_regression_balanced,2,26295,8765,age,religion,2
random_stratified,combined,logistic_regression_balanced,2,26295,8765,ethnicity,age,0
random_stratified,combined,logistic_regression_balanced,2,26295,8765,ethnicity,ethnicity,1556
random_stratified,combined,logistic_regression_balanced,2,26295,8765,ethnicity,gender,2
random_stratified,combined,logistic_regression_balanced,2,26295,8765,ethnicity,not_cyberbullying,9
random_stratified,combined,logistic_regression_balanced,2,26295,8765,ethnicity,other_cyberbullying,16
random_stratified,combined,logistic_regression_balanced,2,26295,8765,ethnicity,religion,1
random_stratified,combined,logistic_regression_balanced,2,26295,8765,gender,age,2
random_stratified,combined,logistic_regression_balanced,2,26295,8765,gender,ethnicity,1
random_stratified,combined,logistic_regression_balanced,2,26295,8765,gender,gender,1295
random_stratified,combined,logistic_regression_balanced,2,26295,8765,gender,not_cyberbullying,102
random_stratified,combined,logistic_regression_balanced,2,26295,8765,gender,other_cyberbullying,121
random_stratified,combined,logistic_regression_balanced,2,26295,8765,gender,religion,1
random_stratified,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,age,23
random_stratified,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,ethnicity,13
random_stratified,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,gender,47
random_stratified,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,not_cyberbullying,838
random_stratified,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,other_cyberbullying,286
