preprocessing,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
p2,linear_svm,3,26295,8765,ethnicity,0.9671419714817111,0.9848484848484849,0.9759149202377229,1584
p2,linear_svm,4,26295,8765,ethnicity,0.9701492537313433,0.9848484848484849,0.9774436090225563,1584
p2,linear_svm,1,26295,8765,gender,0.9052333804809052,0.8409986859395532,0.8719346049046321,1522
p2,linear_svm,2,26295,8765,gender,0.8969072164948454,0.8574244415243101,0.8767215317433658,1522
p2,linear_svm,3,26295,8765,gender,0.8918558077436582,0.8777923784494087,0.8847682119205298,1522
p2,linear_svm,4,26295,8765,gender,0.9011748445058743,0.8562048588312541,0.8781144781144781,1523
p2,linear_svm,1,26295,8765,not_cyberbullying,0.6588037068239259,0.6196513470681458,0.6386280114332381,1262
p2,linear_svm,2,26295,8765,not_cyberbullying,0.666077738515901,0.5969912905779889,0.6296450939457202,1263
p2,linear_svm,3,26295,8765,not_cyberbullying,0.6781411359724613,0.6239113222486145,0.6498969072164948,1263
p2,linear_svm,4,26295,8765,not_cyberbullying,0.6416040100250626,0.6080760095011877,0.624390243902439,1263
p2,linear_svm,1,26295,8765,other_cyberbullying,0.6489283074648928,0.7262200165425972,0.6854020296643247,1209
p2,linear_svm,2,26295,8765,other_cyberbullying,0.6535899333826795,0.7303556658395368,0.68984375,1209
p2,linear_svm,3,26295,8765,other_cyberbullying,0.688550840672538,0.7119205298013245,0.7000407000407001,1208
p2,linear_svm,4,26295,8765,other_cyberbullying,0.6648,0.6879139072847682,0.676159479251424,1208
p2,linear_svm,1,26295,8765,religion,0.9575,0.9598997493734336,0.9586983729662077,1596
p2,linear_svm,2,26295,8765,religion,0.9445137157107232,0.9498432601880877,0.9471709909346671,1595
p2,linear_svm,3,26295,8765,religion,0.9487654320987654,0.9636363636363636,0.9561430793157076,1595
p2,linear_svm,4,26295,8765,religion,0.9392265193370166,0.9592476489028213,0.9491315136476427,1595
p2,logistic_regression,1,26295,8765,age,0.9403166869671132,0.9698492462311558,0.9548546691403834,1592
p2,logistic_regression,2,26295,8765,age,0.9510703363914373,0.9767587939698492,0.9637434149364735,1592
p2,logistic_regression,3,26295,8765,age,0.9604449938195303,0.975517890772128,0.9679227654936157,1593
p2,logistic_regression,4,26295,8765,age,0.9422730006013229,0.9842964824120602,0.9628264208909371,1592
p2,logistic_regression,1,26295,8765,ethnicity,0.9753320683111955,0.9734848484848485,0.9744075829383886,1584
p2,logistic_regression,2,26295,8765,ethnicity,0.9705882352941176,0.9791666666666666,0.9748585795097423,1584
p2,logistic_regression,3,26295,8765,ethnicity,0.9716981132075472,0.9753787878787878,0.9735349716446124,1584
p2,logistic_regression,4,26295,8765,ethnicity,0.9737663960024985,0.9842171717171717,0.9789638932496075,1584
p2,logistic_regression,1,26295,8765,gender,0.919970631424376,0.8232588699080158,0.8689320388349514,1522
p2,logistic_regression,2,26295,8765,gender,0.9225251076040172,0.8449408672798949,0.8820301783264746,1522
p2,logistic_regression,3,26295,8765,gender,0.9142259414225942,0.8613666228646518,0.8870094722598105,1522
p2,logistic_regression,4,26295,8765,gender,0.9195402298850575,0.8404464871963231,0.8782161234991424,1523
p2,logistic_regression,1,26295,8765,not_cyberbullying,0.6762652705061082,0.6141045958795562,0.643687707641196,1262
