representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
combined,logistic_regression_random_oversampling,3,26295,8765,gender,not_cyberbullying,114
combined,logistic_regression_random_oversampling,3,26295,8765,gender,other_cyberbullying,84
combined,logistic_regression_random_oversampling,3,26295,8765,gender,religion,5
combined,logistic_regression_random_oversampling,3,26295,8765,not_cyberbullying,age,24
combined,logistic_regression_random_oversampling,3,26295,8765,not_cyberbullying,ethnicity,9
combined,logistic_regression_random_oversampling,3,26295,8765,not_cyberbullying,gender,54
combined,logistic_regression_random_oversampling,3,26295,8765,not_cyberbullying,not_cyberbullying,851
combined,logistic_regression_random_oversampling,3,26295,8765,not_cyberbullying,other_cyberbullying,279
combined,logistic_regression_random_oversampling,3,26295,8765,not_cyberbullying,religion,46
combined,logistic_regression_random_oversampling,3,26295,8765,other_cyberbullying,age,21
combined,logistic_regression_random_oversampling,3,26295,8765,other_cyberbullying,ethnicity,3
combined,logistic_regression_random_oversampling,3,26295,8765,other_cyberbullying,gender,53
combined,logistic_regression_random_oversampling,3,26295,8765,other_cyberbullying,not_cyberbullying,190
combined,logistic_regression_random_oversampling,3,26295,8765,other_cyberbullying,other_cyberbullying,932
combined,logistic_regression_random_oversampling,3,26295,8765,other_cyberbullying,religion,9
combined,logistic_regression_random_oversampling,3,26295,8765,religion,age,1
combined,logistic_regression_random_oversampling,3,26295,8765,religion,ethnicity,1
combined,logistic_regression_random_oversampling,3,26295,8765,religion,gender,6
combined,logistic_regression_random_oversampling,3,26295,8765,religion,not_cyberbullying,37
combined,logistic_regression_random_oversampling,3,26295,8765,religion,other_cyberbullying,13
combined,logistic_regression_random_oversampling,3,26295,8765,religion,religion,1537
combined,logistic_regression_random_oversampling,4,26295,8765,age,age,1572
combined,logistic_regression_random_oversampling,4,26295,8765,age,ethnicity,0
combined,logistic_regression_random_oversampling,4,26295,8765,age,gender,1
combined,logistic_regression_random_oversampling,4,26295,8765,age,not_cyberbullying,11
combined,logistic_regression_random_oversampling,4,26295,8765,age,other_cyberbullying,8
combined,logistic_regression_random_oversampling,4,26295,8765,age,religion,0
combined,logistic_regression_random_oversampling,4,26295,8765,ethnicity,age,2
combined,logistic_regression_random_oversampling,4,26295,8765,ethnicity,ethnicity,1563
combined,logistic_regression_random_oversampling,4,26295,8765,ethnicity,gender,0
combined,logistic_regression_random_oversampling,4,26295,8765,ethnicity,not_cyberbullying,5
combined,logistic_regression_random_oversampling,4,26295,8765,ethnicity,other_cyberbullying,11
combined,logistic_regression_random_oversampling,4,26295,8765,ethnicity,religion,3
combined,logistic_regression_random_oversampling,4,26295,8765,gender,age,4
combined,logistic_regression_random_oversampling,4,26295,8765,gender,ethnicity,2
combined,logistic_regression_random_oversampling,4,26295,8765,gender,gender,1296
combined,logistic_regression_random_oversampling,4,26295,8765,gender,not_cyberbullying,108
combined,logistic_regression_random_oversampling,4,26295,8765,gender,other_cyberbullying,109
combined,logistic_regression_random_oversampling,4,26295,8765,gender,religion,4
combined,logistic_regression_random_oversampling,4,26295,8765,not_cyberbullying,age,45
combined,logistic_regression_random_oversampling,4,26295,8765,not_cyberbullying,ethnicity,9
combined,logistic_regression_random_oversampling,4,26295,8765,not_cyberbullying,gender,38
combined,logistic_regression_random_oversampling,4,26295,8765,not_cyberbullying,not_cyberbullying,818
combined,logistic_regression_random_oversampling,4,26295,8765,not_cyberbullying,other_cyberbullying,293
combined,logistic_regression_random_oversampling,4,26295,8765,not_cyberbullying,religion,60
combined,logistic_regression_random_oversampling,4,26295,8765,other_cyberbullying,age,15
combined,logistic_regression_random_oversampling,4,26295,8765,other_cyberbullying,ethnicity,7
combined,logistic_regression_random_oversampling,4,26295,8765,other_cyberbullying,gender,49
combined,logistic_regression_random_oversampling,4,26295,8765,other_cyberbullying,not_cyberbullying,192
combined,logistic_regression_random_oversampling,4,26295,8765,other_cyberbullying,other_cyberbullying,936
combined,logistic_regression_random_oversampling,4,26295,8765,other_cyberbullying,religion,9
combined,logistic_regression_random_oversampling,4,26295,8765,religion,age,2
combined,logistic_regression_random_oversampling,4,26295,8765,religion,ethnicity,1
combined,logistic_regression_random_oversampling,4,26295,8765,religion,gender,7
combined,logistic_regression_random_oversampling,4,26295,8765,religion,not_cyberbullying,45
combined,logistic_regression_random_oversampling,4,26295,8765,religion,other_cyberbullying,19
combined,logistic_regression_random_oversampling,4,26295,8765,religion,religion,1521
combined,logistic_regression_unweighted,1,26295,8765,age,age,1548
combined,logistic_regression_unweighted,1,26295,8765,age,ethnicity,0
combined,logistic_regression_unweighted,1,26295,8765,age,gender,2
combined,logistic_regression_unweighted,1,26295,8765,age,not_cyberbullying,27
combined,logistic_regression_unweighted,1,26295,8765,age,other_cyberbullying,14
combined,logistic_regression_unweighted,1,26295,8765,age,religion,1
combined,logistic_regression_unweighted,1,26295,8765,ethnicity,age,1
combined,logistic_regression_unweighted,1,26295,8765,ethnicity,ethnicity,1550
combined,logistic_regression_unweighted,1,26295,8765,ethnicity,gender,1
combined,logistic_regression_unweighted,1,26295,8765,ethnicity,not_cyberbullying,8
combined,logistic_regression_unweighted,1,26295,8765,ethnicity,other_cyberbullying,21
combined,logistic_regression_unweighted,1,26295,8765,ethnicity,religion,3
combined,logistic_regression_unweighted,1,26295,8765,gender,age,2
combined,logistic_regression_unweighted,1,26295,8765,gender,ethnicity,1
combined,logistic_regression_unweighted,1,26295,8765,gender,gender,1296
combined,logistic_regression_unweighted,1,26295,8765,gender,not_cyberbullying,129
combined,logistic_regression_unweighted,1,26295,8765,gender,other_cyberbullying,90
combined,logistic_regression_unweighted,1,26295,8765,gender,religion,4
combined,logistic_regression_unweighted,1,26295,8765,not_cyberbullying,age,36
combined,logistic_regression_unweighted,1,26295,8765,not_cyberbullying,ethnicity,11
combined,logistic_regression_unweighted,1,26295,8765,not_cyberbullying,gender,52
combined,logistic_regression_unweighted,1,26295,8765,not_cyberbullying,not_cyberbullying,855
combined,logistic_regression_unweighted,1,26295,8765,not_cyberbullying,other_cyberbullying,250
combined,logistic_regression_unweighted,1,26295,8765,not_cyberbullying,religion,58
combined,logistic_regression_unweighted,1,26295,8765,other_cyberbullying,age,14
combined,logistic_regression_unweighted,1,26295,8765,other_cyberbullying,ethnicity,5
combined,logistic_regression_unweighted,1,26295,8765,other_cyberbullying,gender,46
combined,logistic_regression_unweighted,1,26295,8765,other_cyberbullying,not_cyberbullying,189
combined,logistic_regression_unweighted,1,26295,8765,other_cyberbullying,other_cyberbullying,951
combined,logistic_regression_unweighted,1,26295,8765,other_cyberbullying,religion,4
combined,logistic_regression_unweighted,1,26295,8765,religion,age,1
combined,logistic_regression_unweighted,1,26295,8765,religion,ethnicity,0
combined,logistic_regression_unweighted,1,26295,8765,religion,gender,2
combined,logistic_regression_unweighted,1,26295,8765,religion,not_cyberbullying,39
combined,logistic_regression_unweighted,1,26295,8765,religion,other_cyberbullying,19
combined,logistic_regression_unweighted,1,26295,8765,religion,religion,1535
combined,logistic_regression_unweighted,2,26295,8765,age,age,1554
combined,logistic_regression_unweighted,2,26295,8765,age,ethnicity,1
combined,logistic_regression_unweighted,2,26295,8765,age,gender,2
combined,logistic_regression_unweighted,2,26295,8765,age,not_cyberbullying,15
combined,logistic_regression_unweighted,2,26295,8765,age,other_cyberbullying,18
combined,logistic_regression_unweighted,2,26295,8765,age,religion,2
combined,logistic_regression_unweighted,2,26295,8765,ethnicity,age,0
combined,logistic_regression_unweighted,2,26295,8765,ethnicity,ethnicity,1559
combined,logistic_regression_unweighted,2,26295,8765,ethnicity,gender,2
combined,logistic_regression_unweighted,2,26295,8765,ethnicity,not_cyberbullying,12
combined,logistic_regression_unweighted,2,26295,8765,ethnicity,other_cyberbullying,9
combined,logistic_regression_unweighted,2,26295,8765,ethnicity,religion,2
combined,logistic_regression_unweighted,2,26295,8765,gender,age,5
combined,logistic_regression_unweighted,2,26295,8765,gender,ethnicity,1
combined,logistic_regression_unweighted,2,26295,8765,gender,gender,1307
combined,logistic_regression_unweighted,2,26295,8765,gender,not_cyberbullying,98
combined,logistic_regression_unweighted,2,26295,8765,gender,other_cyberbullying,103
combined,logistic_regression_unweighted,2,26295,8765,gender,religion,8
combined,logistic_regression_unweighted,2,26295,8765,not_cyberbullying,age,43
combined,logistic_regression_unweighted,2,26295,8765,not_cyberbullying,ethnicity,8
combined,logistic_regression_unweighted,2,26295,8765,not_cyberbullying,gender,62
combined,logistic_regression_unweighted,2,26295,8765,not_cyberbullying,not_cyberbullying,836
combined,logistic_regression_unweighted,2,26295,8765,not_cyberbullying,other_cyberbullying,267
combined,logistic_regression_unweighted,2,26295,8765,not_cyberbullying,religion,47
combined,logistic_regression_unweighted,2,26295,8765,other_cyberbullying,age,12
combined,logistic_regression_unweighted,2,26295,8765,other_cyberbullying,ethnicity,11
combined,logistic_regression_unweighted,2,26295,8765,other_cyberbullying,gender,51
combined,logistic_regression_unweighted,2,26295,8765,other_cyberbullying,not_cyberbullying,188
combined,logistic_regression_unweighted,2,26295,8765,other_cyberbullying,other_cyberbullying,935
combined,logistic_regression_unweighted,2,26295,8765,other_cyberbullying,religion,12
combined,logistic_regression_unweighted,2,26295,8765,religion,age,0
combined,logistic_regression_unweighted,2,26295,8765,religion,ethnicity,1
combined,logistic_regression_unweighted,2,26295,8765,religion,gender,3
combined,logistic_regression_unweighted,2,26295,8765,religion,not_cyberbullying,61
combined,logistic_regression_unweighted,2,26295,8765,religion,other_cyberbullying,23
combined,logistic_regression_unweighted,2,26295,8765,religion,religion,1507
combined,logistic_regression_unweighted,3,26295,8765,age,age,1563
combined,logistic_regression_unweighted,3,26295,8765,age,ethnicity,2
combined,logistic_regression_unweighted,3,26295,8765,age,gender,0
combined,logistic_regression_unweighted,3,26295,8765,age,not_cyberbullying,15
combined,logistic_regression_unweighted,3,26295,8765,age,other_cyberbullying,12
combined,logistic_regression_unweighted,3,26295,8765,age,religion,1
combined,logistic_regression_unweighted,3,26295,8765,ethnicity,age,3
