representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
character,logistic_regression,4,26295,8765,other_cyberbullying,other_cyberbullying,939
character,logistic_regression,4,26295,8765,other_cyberbullying,religion,10
character,logistic_regression,4,26295,8765,religion,age,2
character,logistic_regression,4,26295,8765,religion,ethnicity,1
character,logistic_regression,4,26295,8765,religion,gender,7
character,logistic_regression,4,26295,8765,religion,not_cyberbullying,40
character,logistic_regression,4,26295,8765,religion,other_cyberbullying,18
character,logistic_regression,4,26295,8765,religion,religion,1527
combined,linear_svm,1,26295,8765,age,age,1558
combined,linear_svm,1,26295,8765,age,ethnicity,0
combined,linear_svm,1,26295,8765,age,gender,4
combined,linear_svm,1,26295,8765,age,not_cyberbullying,17
combined,linear_svm,1,26295,8765,age,other_cyberbullying,12
combined,linear_svm,1,26295,8765,age,religion,1
combined,linear_svm,1,26295,8765,ethnicity,age,1
combined,linear_svm,1,26295,8765,ethnicity,ethnicity,1560
combined,linear_svm,1,26295,8765,ethnicity,gender,3
combined,linear_svm,1,26295,8765,ethnicity,not_cyberbullying,5
combined,linear_svm,1,26295,8765,ethnicity,other_cyberbullying,13
combined,linear_svm,1,26295,8765,ethnicity,religion,2
combined,linear_svm,1,26295,8765,gender,age,1
combined,linear_svm,1,26295,8765,gender,ethnicity,4
combined,linear_svm,1,26295,8765,gender,gender,1306
combined,linear_svm,1,26295,8765,gender,not_cyberbullying,115
combined,linear_svm,1,26295,8765,gender,other_cyberbullying,89
combined,linear_svm,1,26295,8765,gender,religion,7
combined,linear_svm,1,26295,8765,not_cyberbullying,age,43
combined,linear_svm,1,26295,8765,not_cyberbullying,ethnicity,12
combined,linear_svm,1,26295,8765,not_cyberbullying,gender,59
combined,linear_svm,1,26295,8765,not_cyberbullying,not_cyberbullying,850
combined,linear_svm,1,26295,8765,not_cyberbullying,other_cyberbullying,243
combined,linear_svm,1,26295,8765,not_cyberbullying,religion,55
combined,linear_svm,1,26295,8765,other_cyberbullying,age,20
combined,linear_svm,1,26295,8765,other_cyberbullying,ethnicity,13
combined,linear_svm,1,26295,8765,other_cyberbullying,gender,47
combined,linear_svm,1,26295,8765,other_cyberbullying,not_cyberbullying,193
combined,linear_svm,1,26295,8765,other_cyberbullying,other_cyberbullying,933
combined,linear_svm,1,26295,8765,other_cyberbullying,religion,3
combined,linear_svm,1,26295,8765,religion,age,0
combined,linear_svm,1,26295,8765,religion,ethnicity,3
combined,linear_svm,1,26295,8765,religion,gender,5
combined,linear_svm,1,26295,8765,religion,not_cyberbullying,40
combined,linear_svm,1,26295,8765,religion,other_cyberbullying,18
combined,linear_svm,1,26295,8765,religion,religion,1530
combined,linear_svm,2,26295,8765,age,age,1558
combined,linear_svm,2,26295,8765,age,ethnicity,2
combined,linear_svm,2,26295,8765,age,gender,0
combined,linear_svm,2,26295,8765,age,not_cyberbullying,15
combined,linear_svm,2,26295,8765,age,other_cyberbullying,16
combined,linear_svm,2,26295,8765,age,religion,1
combined,linear_svm,2,26295,8765,ethnicity,age,0
combined,linear_svm,2,26295,8765,ethnicity,ethnicity,1560
combined,linear_svm,2,26295,8765,ethnicity,gender,4
combined,linear_svm,2,26295,8765,ethnicity,not_cyberbullying,11
combined,linear_svm,2,26295,8765,ethnicity,other_cyberbullying,7
combined,linear_svm,2,26295,8765,ethnicity,religion,2
combined,linear_svm,2,26295,8765,gender,age,7
combined,linear_svm,2,26295,8765,gender,ethnicity,4
combined,linear_svm,2,26295,8765,gender,gender,1333
combined,linear_svm,2,26295,8765,gender,not_cyberbullying,91
combined,linear_svm,2,26295,8765,gender,other_cyberbullying,85
combined,linear_svm,2,26295,8765,gender,religion,2
combined,linear_svm,2,26295,8765,not_cyberbullying,age,47
combined,linear_svm,2,26295,8765,not_cyberbullying,ethnicity,15
