representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
word,linear_svm,1,26295,8765,not_cyberbullying,0.6798964624676446,0.624405705229794,0.650970673275506,1262
word,linear_svm,2,26295,8765,not_cyberbullying,0.6761819803746655,0.6001583531274742,0.6359060402684564,1263
word,linear_svm,3,26295,8765,not_cyberbullying,0.6915555555555556,0.615993665874901,0.6515912897822446,1263
word,linear_svm,4,26295,8765,not_cyberbullying,0.6684539767649688,0.5922406967537609,0.6280436607892528,1263
word,linear_svm,1,26295,8765,other_cyberbullying,0.6724528301886793,0.7369727047146402,0.7032359905288083,1209
word,linear_svm,2,26295,8765,other_cyberbullying,0.6537585421412301,0.7121588089330024,0.6817102137767221,1209
word,linear_svm,3,26295,8765,other_cyberbullying,0.6806853582554517,0.7235099337748344,0.7014446227929374,1208
word,linear_svm,4,26295,8765,other_cyberbullying,0.6615384615384615,0.7119205298013245,0.6858054226475279,1208
word,linear_svm,1,26295,8765,religion,0.944,0.9611528822055138,0.9524992238435268,1596
word,linear_svm,2,26295,8765,religion,0.9381953028430161,0.9517241379310345,0.9449112978524743,1595
word,linear_svm,3,26295,8765,religion,0.9412124923453766,0.9636363636363636,0.9522924411400248,1595
word,linear_svm,4,26295,8765,religion,0.9330085261875761,0.9605015673981191,0.946555452579549,1595
word,logistic_regression,1,26295,8765,age,0.9517998779743746,0.9798994974874372,0.9656453110492108,1592
word,logistic_regression,2,26295,8765,age,0.9503676470588235,0.9742462311557789,0.9621588089330024,1592
word,logistic_regression,3,26295,8765,age,0.9577205882352942,0.9811676082862524,0.9693023255813954,1593
word,logistic_regression,4,26295,8765,age,0.9424460431654677,0.9874371859296482,0.9644171779141104,1592
word,logistic_regression,1,26295,8765,ethnicity,0.9740834386852086,0.9728535353535354,0.9734680985470625,1584
word,logistic_regression,2,26295,8765,ethnicity,0.9741976085588421,0.9772727272727273,0.9757327450362433,1584
word,logistic_regression,3,26295,8765,ethnicity,0.9779319041614124,0.9791666666666666,0.9785488958990536,1584
word,logistic_regression,4,26295,8765,ethnicity,0.9811083123425692,0.9835858585858586,0.9823455233291298,1584
word,logistic_regression,1,26295,8765,gender,0.9243323442136498,0.8186596583442839,0.8682926829268293,1522
word,logistic_regression,2,26295,8765,gender,0.9102564102564102,0.8396846254927727,0.8735475051264525,1522
word,logistic_regression,3,26295,8765,gender,0.9093444909344491,0.8567674113009198,0.8822733423545331,1522
word,logistic_regression,4,26295,8765,gender,0.9221341023792358,0.8397898883782009,0.8790378006872852,1523
word,logistic_regression,1,26295,8765,not_cyberbullying,0.6770293609671848,0.6212361331220285,0.6479338842975206,1262
word,logistic_regression,2,26295,8765,not_cyberbullying,0.6735057983942908,0.5977830562153602,0.6333892617449665,1263
word,logistic_regression,3,26295,8765,not_cyberbullying,0.7065120428189117,0.6270783847980997,0.6644295302013423,1263
word,logistic_regression,4,26295,8765,not_cyberbullying,0.6773017319963537,0.5882818685669042,0.6296610169491526,1263
word,logistic_regression,1,26295,8765,other_cyberbullying,0.6564285714285715,0.760132340777502,0.7044844768110388,1209
word,logistic_regression,2,26295,8765,other_cyberbullying,0.6483754512635379,0.7427626137303557,0.69236700077101,1209
word,logistic_regression,3,26295,8765,other_cyberbullying,0.6699101796407185,0.7408940397350994,0.7036163522012578,1208
word,logistic_regression,4,26295,8765,other_cyberbullying,0.6467153284671533,0.7334437086092715,0.6873545384018619,1208
word,logistic_regression,1,26295,8765,religion,0.9346764346764347,0.9592731829573935,0.9468150896722325,1596
word,logistic_regression,2,26295,8765,religion,0.923500611995104,0.9460815047021943,0.9346546918550634,1595
word,logistic_regression,3,26295,8765,religion,0.9251207729468599,0.9605015673981191,0.9424792371577976,1595
word,logistic_regression,4,26295,8765,religion,0.9244712990936556,0.9592476489028213,0.9415384615384615,1595
